Assembly	ditt_contamfiltered_hifiasm_l0.asm.bp.p_ctg
# contigs (>= 0 bp)	51
# contigs (>= 1000 bp)	51
# contigs (>= 5000 bp)	51
# contigs (>= 10000 bp)	46
# contigs (>= 25000 bp)	35
# contigs (>= 50000 bp)	31
Total length (>= 0 bp)	819144720
Total length (>= 1000 bp)	819144720
Total length (>= 5000 bp)	819144720
Total length (>= 10000 bp)	819105873
Total length (>= 25000 bp)	818869314
Total length (>= 50000 bp)	818719591
# contigs	51
Largest contig	102842140
Total length	819144720
GC (%)	35.49
N50	73662154
N90	18675365
auN	63001172.1
L50	5
L90	14
# N's per 100 kbp	0.00
