Assembly	ditt_contamfiltered_hifiasm_l0_omnic.asm.hic.hap1.p_ctg
# contigs (>= 0 bp)	36
# contigs (>= 1000 bp)	36
# contigs (>= 5000 bp)	36
# contigs (>= 10000 bp)	36
# contigs (>= 25000 bp)	34
# contigs (>= 50000 bp)	31
Total length (>= 0 bp)	818877680
Total length (>= 1000 bp)	818877680
Total length (>= 5000 bp)	818877680
Total length (>= 10000 bp)	818877680
Total length (>= 25000 bp)	818838044
Total length (>= 50000 bp)	818719591
# contigs	36
Largest contig	102842140
Total length	818877680
GC (%)	35.49
N50	73662154
N90	18675365
auN	63021710.3
L50	5
L90	14
# N's per 100 kbp	0.00
