Assembly	dittrichia_draft_asm_alt_wrapped.FINAL
# contigs (>= 0 bp)	200
# contigs (>= 1000 bp)	200
# contigs (>= 5000 bp)	172
# contigs (>= 10000 bp)	148
# contigs (>= 25000 bp)	96
# contigs (>= 50000 bp)	58
Total length (>= 0 bp)	816669767
Total length (>= 1000 bp)	816669767
Total length (>= 5000 bp)	816617570
Total length (>= 10000 bp)	816435895
Total length (>= 25000 bp)	815536754
Total length (>= 50000 bp)	814255919
# contigs	178
Largest contig	112042449
Total length	816639921
GC (%)	35.48
N50	96368975
N90	72230863
auN	91281248.8
L50	4
L90	8
# N's per 100 kbp	7.35
